ID	UG2Class	INetDesc
n02690373	Aircraft	airliner
n04266014	Aircraft	space shuttle
n04552348	Aircraft	warplane, military plane
n04592741	Aircraft	wing
n02708093	AnalogClock	analog clock
n04486054	Arch	triumphal arch
n02788148	Bannister	bannister, banister, balustrade, balusters, handrail
n03792782	Bicycle	mountain bike, all-terrain bike, off-roader
n02835271	Bicycle	bicycle-built-for-two, tandem bicycle, tandem
n02009229	Bird	little blue heron, Egretta caerulea
n01582220	Bird	magpie
n02037110	Bird	oystercatcher, oyster catcher
n01807496	Bird	partridge
n01796340	Bird	ptarmigan
n02027492	Bird	red-backed sandpiper, dunlin, Erolia alpina
n02006656	Bird	spoonbill
n02028035	Bird	redshank, Tringa totanus
n01558993	Bird	robin, American robin, Turdus migratorius
n01797886	Bird	ruffed grouse, partridge, Bonasa umbellus
n02013706	Bird	limpkin, Aramus pictus
n01819313	Bird	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n01601694	Bird	water ouzel, dipper
n01855032	Bird	red-breasted merganser, Mergus serrator
n01608432	Bird	kite
n02025239	Bird	ruddy turnstone, Arenaria interpres
n01843065	Bird	jacamar
n02011460	Bird	bittern
n01828970	Bird	bee eater
n02009912	Bird	American egret, great white heron, Egretta albus
n02018207	Bird	American coot, marsh hen, mud hen, water hen, Fulica americana
n01795545	Bird	black grouse
n01530575	Bird	brambling, Fringilla montifringilla
n01560419	Bird	bulbul
n01817953	Bird	African grey, African gray, Psittacus erithacus
n02018795	Bird	bustard
n01824575	Bird	coucal
n02033041	Bird	dowitcher
n01847000	Bird	drake
n02017213	Bird	European gallinule, Porphyrio porphyrio
n01531178	Bird	goldfinch, Carduelis carduelis
n01855672	Bird	goose
n01829413	Bird	hornbill
n01537544	Bird	indigo bunting, indigo finch, indigo bird, Passerina cyanea
n01592084	Bird	chickadee
n01580077	Bird	jay
n04273569	Boat	speedboat
n04612504	Boat	yawl
n04606251	Boat	wreck
n04483307	Boat	trimaran
n03947888	Boat	pirate, pirate ship
n03673027	Boat	liner, ocean liner
n03662601	Boat	lifeboat
n03447447	Boat	gondola
n03344393	Boat	fireboat
n03095699	Boat	container ship, containership, container vessel
n02981792	Boat	catamaran
n02951358	Boat	canoe
n02687172	Boat	aircraft carrier, carrier, flattop, attack aircraft carrier
n04147183	Boat	schooner
n03933933	Bridge	pier
n04311004	Bridge	steel arch bridge
n04366367	Bridge	suspension bridge
n03977966	Car1	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
n04037443	Car1	racer, race car, racing car
n04065272	Car1	recreational vehicle, RV, R.V.
n04146614	Car1	school bus
n03930630	Car1	pickup, pickup truck
n04335435	Car1	streetcar, tram, tramcar, trolley, trolley car
n04461696	Car1	tow truck, tow car, wrecker
n04467665	Car1	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
n04487081	Car1	trolleybus, trolley coach, trackless trolley
n04285008	Car1	sports car, sport car
n03895866	Car1	passenger car, coach, carriage
n03345487	Car1	fire engine, fire truck
n03777568	Car1	Model T
n02704792	Car1	amphibian, amphibious vehicle
n02814533	Car1	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02930766	Car1	cab, hack, taxi, taxicab
n03100240	Car1	convertible
n02701002	Car1	ambulance
n03796401	Car1	moving van
n03417042	Car1	garbage truck, dustcart
n03445924	Car1	golfcart, golf cart
n03594945	Car1	jeep, landrover
n03670208	Car1	limousine, limo
n03769881	Car1	minibus
n03770679	Car1	minivan
n03776460	Car1	mobile home, manufactured home
n03444034	Car1	go-kart
n03769881	Car2	minibus
n03770679	Car2	minivan
n03796401	Car2	moving van
n03777568	Car2	Model T
n03670208	Car2	limousine, limo
n03776460	Car2	mobile home, manufactured home
n03594945	Car2	jeep, landrover
n02704792	Car2	amphibian, amphibious vehicle
n03417042	Car2	garbage truck, dustcart
n03345487	Car2	fire engine, fire truck
n03100240	Car2	convertible
n02930766	Car2	cab, hack, taxi, taxicab
n02814533	Car2	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n03895866	Car2	passenger car, coach, carriage
n02701002	Car2	ambulance
n03444034	Car2	go-kart
n03930630	Car2	pickup, pickup truck
n04461696	Car2	tow truck, tow car, wrecker
n04037443	Car2	racer, race car, racing car
n04065272	Car2	recreational vehicle, RV, R.V.
n04146614	Car2	school bus
n04285008	Car2	sports car, sport car
n04335435	Car2	streetcar, tram, tramcar, trolley, trolley car
n04467665	Car2	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
n04487081	Car2	trolleybus, trolley coach, trackless trolley
n03977966	Car2	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
